code	region	sido	n_recv	s_recv	n_target	s_target	s_pct	n_pct
11110	종로구	서울특별시	16	70	321	367	19.07	4.98
11140	중구	서울특별시	7	84	278	417	20.14	2.52
11170	용산구	서울특별시	14	197	449	699	28.18	3.12
11200	성동구	서울특별시	9	161	602	752	21.41	1.5
11215	광진구	서울특별시	37	396	1147	1435	27.6	3.23
11230	동대문구	서울특별시	36	408	1059	1289	31.65	3.4
11260	중랑구	서울특별시	56	794	2267	2849	27.87	2.47
11290	성북구	서울특별시	56	560	1493	1920	29.17	3.75
11305	강북구	서울특별시	99	740	1779	2128	34.77	5.56
11320	도봉구	서울특별시	55	609	1778	1960	31.07	3.09
11350	노원구	서울특별시	43	642	2043	2619	24.51	2.1
11380	은평구	서울특별시	57	770	2025	2722	28.29	2.81
11410	서대문구	서울특별시	43	383	827	1102	34.75	5.2
11440	마포구	서울특별시	33	269	734	867	31.03	4.5
11470	양천구	서울특별시	41	601	1576	1955	30.74	2.6
11500	강서구	서울특별시	65	839	2358	2858	29.36	2.76
